query_text,storeview_id,store_id,website_id,redirect,display_in_terms,is_external
vape,55,,,in-store-only-es,0,0
marlboro gold,55,,,in-store-only-es,0,0
cigaret,55,,,in-store-only-es,0,0
cigarros,55,,,in-store-only-es,0,0
amber leaf tobacco,55,,,in-store-only-es,0,0
cigarrillos,55,,,in-store-only-es,0,0
Tobaco,55,,,in-store-only-es,0,0
cigarets,55,,,in-store-only-es,0,0
tobac,55,,,in-store-only-es,0,0
cigarett,55,,,in-store-only-es,0,0
lucky strike,55,,,in-store-only-es,0,0
Cigarro,55,,,in-store-only-es,0,0
heets,55,,,in-store-only-es,0,0
marlbo,55,,,in-store-only-es,0,0
Tabak,55,,,in-store-only-es,0,0
tobbaco,55,,,in-store-only-es,0,0
rolling tobacco,55,,,in-store-only-es,0,0
golden virginia tobacco,55,,,in-store-only-es,0,0
cigarr,55,,,in-store-only-es,0,0
Tabacc,55,,,in-store-only-es,0,0
tabbaco,55,,,in-store-only-es,0,0
cigarete,55,,,in-store-only-es,0,0
cigaretts,55,,,in-store-only-es,0,0
cigaretter,55,,,in-store-only-es,0,0
cigaretes,55,,,in-store-only-es,0,0
Cigarettes,57,,,in-store-only-es,0,0
tobacco,57,,,in-store-only-es,0,0
cigarette,57,,,in-store-only-es,0,0
Marlboro,57,,,in-store-only-es,0,0
cig,57,,,in-store-only-es,0,0
amber leaf,57,,,in-store-only-es,0,0
cigar,57,,,in-store-only-es,0,0
terea,57,,,in-store-only-es,0,0
ciga,57,,,in-store-only-es,0,0
golden virginia,57,,,in-store-only-es,0,0
toba,57,,,in-store-only-es,0,0
tabaco,57,,,in-store-only-es,0,0
cigars,57,,,in-store-only-es,0,0
tabacco,57,,,in-store-only-es,0,0
camel,57,,,in-store-only-es,0,0
Malboro,57,,,in-store-only-es,0,0
Iqos,57,,,in-store-only-es,0,0
Amberleaf,57,,,in-store-only-es,0,0
cigare,57,,,in-store-only-es,0,0
Tabac,57,,,in-store-only-es,0,0
winston,57,,,in-store-only-es,0,0
zigaretten,57,,,in-store-only-es,0,0
snus,57,,,in-store-only-es,0,0
tobacc,57,,,in-store-only-es,0,0
taba,57,,,in-store-only-es,0,0
vape,57,,,in-store-only-es,0,0
marlboro gold,57,,,in-store-only-es,0,0
cigaret,57,,,in-store-only-es,0,0
cigarros,57,,,in-store-only-es,0,0
amber leaf tobacco,57,,,in-store-only-es,0,0
cigarrillos,57,,,in-store-only-es,0,0
Tobaco,57,,,in-store-only-es,0,0
cigarets,57,,,in-store-only-es,0,0
tobac,57,,,in-store-only-es,0,0
cigarett,57,,,in-store-only-es,0,0
lucky strike,57,,,in-store-only-es,0,0
Cigarro,57,,,in-store-only-es,0,0
heets,57,,,in-store-only-es,0,0
marlbo,57,,,in-store-only-es,0,0
Tabak,57,,,in-store-only-es,0,0
tobbaco,57,,,in-store-only-es,0,0
rolling tobacco,57,,,in-store-only-es,0,0
golden virginia tobacco,57,,,in-store-only-es,0,0
cigarr,57,,,in-store-only-es,0,0
Tabacc,57,,,in-store-only-es,0,0
tabbaco,57,,,in-store-only-es,0,0
cigarete,57,,,in-store-only-es,0,0
cigaretts,57,,,in-store-only-es,0,0
cigaretter,57,,,in-store-only-es,0,0
cigaretes,57,,,in-store-only-es,0,0
Cigarettes,59,,,in-store-only-es,0,0
tobacco,59,,,in-store-only-es,0,0
cigarette,59,,,in-store-only-es,0,0
Marlboro,59,,,in-store-only-es,0,0
cig,59,,,in-store-only-es,0,0
amber leaf,59,,,in-store-only-es,0,0
cigar,59,,,in-store-only-es,0,0
terea,59,,,in-store-only-es,0,0
ciga,59,,,in-store-only-es,0,0
golden virginia,59,,,in-store-only-es,0,0
toba,59,,,in-store-only-es,0,0
tabaco,59,,,in-store-only-es,0,0
cigars,59,,,in-store-only-es,0,0
tabacco,59,,,in-store-only-es,0,0
camel,59,,,in-store-only-es,0,0
Malboro,59,,,in-store-only-es,0,0
Iqos,59,,,in-store-only-es,0,0
Amberleaf,59,,,in-store-only-es,0,0
